gene	accession	hmmsource
VOG0335	VOG0335	pvog
VOG0336	VOG0336	pvog
VOG0337	VOG0337	pvog
VOG0338	VOG0338	pvog
VOG0339	VOG0339	pvog
VOG0340	VOG0340	pvog
VOG0341	VOG0341	pvog
VOG0342	VOG0342	pvog
VOG0344	VOG0344	pvog
VOG0345	VOG0345	pvog
VOG0346	VOG0346	pvog
VOG0347	VOG0347	pvog
VOG0348	VOG0348	pvog
VOG0350	VOG0350	pvog
VOG0351	VOG0351	pvog
VOG0352	VOG0352	pvog
VOG0354	VOG0354	pvog
VOG0355	VOG0355	pvog
VOG0356	VOG0356	pvog
VOG0362	VOG0362	pvog
VOG0364	VOG0364	pvog
VOG0367	VOG0367	pvog
VOG0368	VOG0368	pvog
VOG0369	VOG0369	pvog
VOG0370	VOG0370	pvog
VOG0371	VOG0371	pvog
VOG0372	VOG0372	pvog
VOG0373	VOG0373	pvog
VOG0374	VOG0374	pvog
VOG0375	VOG0375	pvog
VOG0376	VOG0376	pvog
VOG0377	VOG0377	pvog
VOG0382	VOG0382	pvog
VOG0384	VOG0384	pvog
VOG0388	VOG0388	pvog
VOG0389	VOG0389	pvog
VOG0390	VOG0390	pvog
VOG0393	VOG0393	pvog
VOG0394	VOG0394	pvog
VOG0395	VOG0395	pvog
VOG0396	VOG0396	pvog
VOG0397	VOG0397	pvog
VOG0398	VOG0398	pvog
VOG0400	VOG0400	pvog
VOG0401	VOG0401	pvog
VOG0402	VOG0402	pvog
VOG0403	VOG0403	pvog
VOG0404	VOG0404	pvog
VOG0405	VOG0405	pvog
VOG0407	VOG0407	pvog
VOG0408	VOG0408	pvog
VOG0409	VOG0409	pvog
VOG0410	VOG0410	pvog
VOG0411	VOG0411	pvog
VOG0412	VOG0412	pvog
VOG0413	VOG0413	pvog
VOG0414	VOG0414	pvog
VOG0415	VOG0415	pvog
VOG0416	VOG0416	pvog
VOG0417	VOG0417	pvog
VOG0418	VOG0418	pvog
VOG0419	VOG0419	pvog
VOG0420	VOG0420	pvog
VOG0421	VOG0421	pvog
VOG0422	VOG0422	pvog
VOG0424	VOG0424	pvog
VOG0425	VOG0425	pvog
VOG0426	VOG0426	pvog
VOG0427	VOG0427	pvog
VOG0428	VOG0428	pvog
VOG0429	VOG0429	pvog
VOG0433	VOG0433	pvog
VOG0434	VOG0434	pvog
VOG0435	VOG0435	pvog
VOG0436	VOG0436	pvog
VOG0437	VOG0437	pvog
VOG0438	VOG0438	pvog
VOG0439	VOG0439	pvog
VOG0440	VOG0440	pvog
VOG0441	VOG0441	pvog
VOG0443	VOG0443	pvog
VOG0444	VOG0444	pvog
VOG0445	VOG0445	pvog
VOG0447	VOG0447	pvog
VOG0448	VOG0448	pvog
VOG0449	VOG0449	pvog
VOG0450	VOG0450	pvog
VOG0451	VOG0451	pvog
VOG0452	VOG0452	pvog
VOG0454	VOG0454	pvog
VOG0456	VOG0456	pvog
VOG0457	VOG0457	pvog
VOG0459	VOG0459	pvog
VOG0460	VOG0460	pvog
VOG0461	VOG0461	pvog
VOG0462	VOG0462	pvog
VOG0463	VOG0463	pvog
VOG0464	VOG0464	pvog
VOG0465	VOG0465	pvog
VOG0466	VOG0466	pvog
VOG0468	VOG0468	pvog
VOG0469	VOG0469	pvog
VOG0471	VOG0471	pvog
VOG0473	VOG0473	pvog
VOG0474	VOG0474	pvog
VOG0475	VOG0475	pvog
VOG0476	VOG0476	pvog
VOG0477	VOG0477	pvog
VOG0479	VOG0479	pvog
VOG0480	VOG0480	pvog
VOG0481	VOG0481	pvog
VOG0482	VOG0482	pvog
VOG0483	VOG0483	pvog
VOG0484	VOG0484	pvog
VOG0485	VOG0485	pvog
VOG0486	VOG0486	pvog
VOG0487	VOG0487	pvog
VOG0488	VOG0488	pvog
VOG0489	VOG0489	pvog
VOG0493	VOG0493	pvog
VOG0494	VOG0494	pvog
VOG0495	VOG0495	pvog
VOG0496	VOG0496	pvog
VOG0497	VOG0497	pvog
VOG0498	VOG0498	pvog
VOG0499	VOG0499	pvog
VOG0505	VOG0505	pvog
VOG0506	VOG0506	pvog
VOG0507	VOG0507	pvog
VOG0509	VOG0509	pvog
VOG0510	VOG0510	pvog
VOG0511	VOG0511	pvog
VOG0513	VOG0513	pvog
VOG0514	VOG0514	pvog
VOG0518	VOG0518	pvog
VOG0519	VOG0519	pvog
VOG0521	VOG0521	pvog
VOG0523	VOG0523	pvog
VOG0524	VOG0524	pvog
VOG0525	VOG0525	pvog
VOG0526	VOG0526	pvog
VOG0527	VOG0527	pvog
VOG0528	VOG0528	pvog
VOG0529	VOG0529	pvog
VOG0531	VOG0531	pvog
VOG0532	VOG0532	pvog
VOG0533	VOG0533	pvog
VOG0534	VOG0534	pvog
VOG0535	VOG0535	pvog
VOG0536	VOG0536	pvog
VOG0537	VOG0537	pvog
VOG0539	VOG0539	pvog
VOG0541	VOG0541	pvog
VOG0542	VOG0542	pvog
VOG0543	VOG0543	pvog
VOG0544	VOG0544	pvog
VOG0545	VOG0545	pvog
VOG0546	VOG0546	pvog
VOG0547	VOG0547	pvog
VOG0548	VOG0548	pvog
VOG0549	VOG0549	pvog
VOG0550	VOG0550	pvog
VOG0551	VOG0551	pvog
VOG0553	VOG0553	pvog
VOG0554	VOG0554	pvog
VOG0555	VOG0555	pvog
VOG0556	VOG0556	pvog
VOG0557	VOG0557	pvog
VOG0558	VOG0558	pvog
VOG0559	VOG0559	pvog
VOG0560	VOG0560	pvog
VOG0562	VOG0562	pvog
VOG0564	VOG0564	pvog
VOG0565	VOG0565	pvog
VOG0566	VOG0566	pvog
VOG0567	VOG0567	pvog
VOG0568	VOG0568	pvog
VOG0569	VOG0569	pvog
VOG0571	VOG0571	pvog
VOG0572	VOG0572	pvog
VOG0573	VOG0573	pvog
VOG0574	VOG0574	pvog
VOG0577	VOG0577	pvog
VOG0582	VOG0582	pvog
VOG0583	VOG0583	pvog
VOG0584	VOG0584	pvog
VOG0585	VOG0585	pvog
VOG0586	VOG0586	pvog
VOG0588	VOG0588	pvog
VOG0590	VOG0590	pvog
VOG0595	VOG0595	pvog
VOG0598	VOG0598	pvog
VOG0600	VOG0600	pvog
VOG0601	VOG0601	pvog
VOG0602	VOG0602	pvog
VOG0603	VOG0603	pvog
VOG0608	VOG0608	pvog
VOG0609	VOG0609	pvog
VOG0611	VOG0611	pvog
VOG0612	VOG0612	pvog
VOG0614	VOG0614	pvog
VOG0615	VOG0615	pvog
VOG0618	VOG0618	pvog
VOG0621	VOG0621	pvog
VOG0622	VOG0622	pvog
VOG0623	VOG0623	pvog
VOG0625	VOG0625	pvog
VOG0628	VOG0628	pvog
VOG0629	VOG0629	pvog
VOG0630	VOG0630	pvog
VOG0631	VOG0631	pvog
VOG0632	VOG0632	pvog
VOG0634	VOG0634	pvog
VOG0635	VOG0635	pvog
VOG0637	VOG0637	pvog
VOG0638	VOG0638	pvog
VOG0639	VOG0639	pvog
VOG0641	VOG0641	pvog
VOG0642	VOG0642	pvog
VOG0643	VOG0643	pvog
VOG0644	VOG0644	pvog
VOG0645	VOG0645	pvog
VOG0647	VOG0647	pvog
VOG0648	VOG0648	pvog
VOG0650	VOG0650	pvog
VOG0651	VOG0651	pvog
VOG0655	VOG0655	pvog
VOG0656	VOG0656	pvog
VOG0657	VOG0657	pvog
VOG0658	VOG0658	pvog
VOG0660	VOG0660	pvog
VOG0661	VOG0661	pvog
VOG0668	VOG0668	pvog
VOG0672	VOG0672	pvog
VOG0673	VOG0673	pvog
VOG0674	VOG0674	pvog
VOG0676	VOG0676	pvog
VOG0677	VOG0677	pvog
VOG0678	VOG0678	pvog
VOG0679	VOG0679	pvog
VOG0681	VOG0681	pvog
VOG0682	VOG0682	pvog
VOG0685	VOG0685	pvog
VOG0686	VOG0686	pvog
VOG0689	VOG0689	pvog
VOG0691	VOG0691	pvog
VOG0692	VOG0692	pvog
VOG0694	VOG0694	pvog
VOG0695	VOG0695	pvog
VOG0696	VOG0696	pvog
VOG0697	VOG0697	pvog
VOG0698	VOG0698	pvog
VOG0700	VOG0700	pvog
VOG0701	VOG0701	pvog
VOG0703	VOG0703	pvog
VOG0704	VOG0704	pvog
VOG0705	VOG0705	pvog
VOG0706	VOG0706	pvog
VOG0707	VOG0707	pvog
VOG0709	VOG0709	pvog
VOG0712	VOG0712	pvog
VOG0713	VOG0713	pvog
VOG0714	VOG0714	pvog
VOG0717	VOG0717	pvog
VOG0719	VOG0719	pvog
VOG0720	VOG0720	pvog
VOG0723	VOG0723	pvog
VOG0724	VOG0724	pvog
VOG0725	VOG0725	pvog
VOG0727	VOG0727	pvog
VOG0731	VOG0731	pvog
VOG0733	VOG0733	pvog
VOG0734	VOG0734	pvog
VOG0735	VOG0735	pvog
VOG0736	VOG0736	pvog
VOG0737	VOG0737	pvog
VOG0739	VOG0739	pvog
VOG0740	VOG0740	pvog
VOG0741	VOG0741	pvog
VOG0743	VOG0743	pvog
VOG0744	VOG0744	pvog
VOG0749	VOG0749	pvog
VOG0750	VOG0750	pvog
VOG0751	VOG0751	pvog
VOG0752	VOG0752	pvog
VOG0753	VOG0753	pvog
VOG0754	VOG0754	pvog
VOG0755	VOG0755	pvog
VOG0756	VOG0756	pvog
VOG0757	VOG0757	pvog
VOG0758	VOG0758	pvog
VOG0760	VOG0760	pvog
VOG0763	VOG0763	pvog
VOG0764	VOG0764	pvog
VOG0765	VOG0765	pvog
VOG0766	VOG0766	pvog
VOG0769	VOG0769	pvog
VOG0771	VOG0771	pvog
VOG0774	VOG0774	pvog
VOG0776	VOG0776	pvog
VOG0784	VOG0784	pvog
VOG0785	VOG0785	pvog
VOG0787	VOG0787	pvog
VOG0788	VOG0788	pvog
VOG0789	VOG0789	pvog
VOG0790	VOG0790	pvog
VOG0791	VOG0791	pvog
VOG0792	VOG0792	pvog
VOG0793	VOG0793	pvog
VOG0794	VOG0794	pvog
VOG0795	VOG0795	pvog
VOG0796	VOG0796	pvog
VOG0797	VOG0797	pvog
VOG0799	VOG0799	pvog
VOG0800	VOG0800	pvog
VOG0801	VOG0801	pvog
VOG0804	VOG0804	pvog
VOG0805	VOG0805	pvog
VOG0806	VOG0806	pvog
VOG0807	VOG0807	pvog
